,file,geneID,uni_gal,gene,gene_galGal,finalgene
24,aquChr_transcript:ENSACCT00020000125_R0,GEMOMA_00003136-RA,A0A1D5NTC7,ST3GAL5,ST3GAL5,ST3GAL5
25,aquChr_transcript:ENSACCT00020000133_R0,GEMOMA_00003131-RA,A0A3Q2TRX4,SPON2,SPON2,SPON2
26,aquChr_transcript:ENSACCT00020000134_R0,GEMOMA_00003130-RA,A0A1D5P770,CTBP1,CTBP1,CTBP1
27,aquChr_transcript:ENSACCT00020000142_R0,GEMOMA_00003128-RA,A0A1D5PJ92,UVSSA,UVSSA,UVSSA
28,aquChr_transcript:ENSACCT00020000145_R0,GEMOMA_00003125-RA,Q6B7Z7,SLBP,SLBP,SLBP
29,aquChr_transcript:ENSACCT00020000146_R0,GEMOMA_00003124-RA,A0A3Q2U8Y1,NA,LOC422901,LOC422901
30,aquChr_transcript:ENSACCT00020000148_R0,GEMOMA_00003123-RA,Q5ZI25,TMEM129,TMEM129,TMEM129
31,aquChr_transcript:ENSACCT00020000149_R0,GEMOMA_00003122-RA,F1NCL7,TACC3,TACC3,TACC3
32,aquChr_transcript:ENSACCT00020000162_R0,GEMOMA_00003120-RA,A0A1I7Q423,LETM1,LETM1,LETM1
33,aquChr_transcript:ENSACCT00020000163_R0,GEMOMA_00003119-RA,E1C765,NSD2,NA,NSD2
34,aquChr_transcript:ENSACCT00020000166_R0,GEMOMA_00003117-RA,F1NCM6,NELFA,NELFA,NELFA
35,aquChr_transcript:ENSACCT00020000167_R0,GEMOMA_00003116-RA,A0A1D5NYM3,NA,LOC422895,LOC422895
36,aquChr_transcript:ENSACCT00020000172_R0,GEMOMA_00003111-RA,F6U2D7,MXD4,MXD4,MXD4
37,aquChr_transcript:ENSACCT00020000175_R0,GEMOMA_00003109-RA,F1NCU7,CFAP99,CFAP99,CFAP99
38,aquChr_transcript:ENSACCT00020000181_R0,GEMOMA_00003106-RA,A0A1D5NW22,TNIP2,TNIP2,TNIP2
39,aquChr_transcript:ENSACCT00020000184_R0,GEMOMA_00003104-RA,F1ND55,ADD1,ADD1,ADD1
40,aquChr_transcript:ENSACCT00020000188_R0,GEMOMA_00003103-RA,E1C932,MFSD10,MFSD10,MFSD10
41,aquChr_transcript:ENSACCT00020000190_R0,GEMOMA_00003102-RA,E1C936,NOP14,NOP14,NOP14
42,aquChr_transcript:ENSACCT00020000192_R0,GEMOMA_00003101-RA,Q5ZKL2,GRK4,GRK4,GRK4
43,aquChr_transcript:ENSACCT00020000198_R0,GEMOMA_00003097-RA,E1BZN8,HGFAC,F12,HGFAC
44,aquChr_transcript:ENSACCT00020000204_R0,GEMOMA_00003096-RA,E1BZQ3,DOK7,NA,DOK7
45,aquChr_transcript:ENSACCT00020000208_R0,GEMOMA_00003094-RA,F1NDD8,ADRA2C,ADRA2C,ADRA2C
46,aquChr_transcript:ENSACCT00020000208_R1,GEMOMA_00007672-RA,F1NQY7,ADRA2A,ADRA2A,ADRA2A
47,aquChr_transcript:ENSACCT00020000211_R0,GEMOMA_00003091-RA,A0A1D5P0B6,CPZ,CPZ,CPZ
48,aquChr_transcript:ENSACCT00020000215_R0,GEMOMA_00003089-RA,E1C1E9,ACOX3,ACOX3,ACOX3
49,aquChr_transcript:ENSACCT00020000217_R0,GEMOMA_00003088-RA,A0A1D5P1Z5,HTRA3,HTRA3,HTRA3
50,aquChr_transcript:ENSACCT00020000224_R0,GEMOMA_00003086-RA,A0A3Q2U9S8,ABLIM2,ABLIM2,ABLIM2
51,aquChr_transcript:ENSACCT00020000233_R0,GEMOMA_00003083-RA,A0A1L1RZU5,GRPEL1,GRPEL1,GRPEL1
52,aquChr_transcript:ENSACCT00020000234_R0,GEMOMA_00003082-RA,F1N9A7,TADA2B,TADA2B,TADA2B
53,aquChr_transcript:ENSACCT00020000236_R0,GEMOMA_00003080-RA,F1N9A8,TBC1D14,TBC1D14,TBC1D14
54,aquChr_transcript:ENSACCT00020000238_R0,GEMOMA_00003079-RA,F1N9B9,KIAA0232,KIAA0232,KIAA0232
55,aquChr_transcript:ENSACCT00020000239_R0,GEMOMA_00003078-RA,NA,S100P,NA,S100P
56,aquChr_transcript:ENSACCT00020000244_R1,GEMOMA_00007778-RA,A0A1D5P3G1,PPP2R2D,PPP2R2D,PPP2R2D
57,aquChr_transcript:ENSACCT00020000244_R2,GEMOMA_00014438-RA,A0A1D5PED5,PPP2R2A,PPP2R2A,PPP2R2A
58,aquChr_transcript:ENSACCT00020000245_R0,GEMOMA_00003075-RA,F1NQG0,WFS1,WFS1,WFS1
59,aquChr_transcript:ENSACCT00020000249_R0,GEMOMA_00003072-RA,Q71SG4,CRMP1,CRMP1A,CRMP1
60,aquChr_transcript:ENSACCT00020000259_R0,GEMOMA_00003067-RA,P50223,GHOX-7,GHOX-7,GHOX-7
61,aquChr_transcript:ENSACCT00020000261_R0,GEMOMA_00003065-RA,Q8QFP1,NSG1,NSG1,NSG1
62,aquChr_transcript:ENSACCT00020000262_R0,GEMOMA_00003064-RA,A0A3Q2UG42,ZBTB49,ZBTB49,ZBTB49
63,aquChr_transcript:ENSACCT00020000266_R0,GEMOMA_00003061-RA,A0A1D5P972,OTOP1,OTOP1,OTOP1
64,aquChr_transcript:ENSACCT00020000268_R0,GEMOMA_00003059-RA,E1C8N2,SLC2A9,SLC2A9,SLC2A9
65,aquChr_transcript:ENSACCT00020000276_R0,GEMOMA_00003058-RA,O93277,WDR1,WDR1,WDR1
66,aquChr_transcript:ENSACCT00020000280_R0,GEMOMA_00003054-RA,E1C4K4,RAB28,RAB28,RAB28
67,aquChr_transcript:ENSACCT00020000290_R0,GEMOMA_00003049-RA,F1NG79,C1QTNF7,C1QTNF7,C1QTNF7
68,aquChr_transcript:ENSACCT00020000295_R0,GEMOMA_00003047-RA,E1C8X9,FBXL5,FBXL5,FBXL5
69,aquChr_transcript:ENSACCT00020000299_R0,GEMOMA_00003045-RA,A0A1L1RQU5,CD38,CD38,CD38
70,aquChr_transcript:ENSACCT00020000300_R0,GEMOMA_00003044-RA,NA,FGFBP1,NA,FGFBP1
71,aquChr_transcript:ENSACCT00020000301_R0,GEMOMA_00003043-RA,Q802A9,FGFBP2,FGFBP2,FGFBP2
72,aquChr_transcript:ENSACCT00020000310_R0,GEMOMA_00003039-RA,Q5ZKQ2,QDPR,QDPR,QDPR
73,aquChr_transcript:ENSACCT00020000311_R0,GEMOMA_00003038-RA,R4GJ03,CLRN2,CLRN2,CLRN2
74,aquChr_transcript:ENSACCT00020000312_R0,GEMOMA_00003037-RA,F1NHL4,LAP3,LAP3,LAP3
75,aquChr_transcript:ENSACCT00020000313_R0,GEMOMA_00003036-RA,A0A3Q2TXI8,MED28,MED28,MED28
76,aquChr_transcript:ENSACCT00020000341_R0,GEMOMA_00003027-RA,F1NHI3,DHX15,DHX15,DHX15
77,aquChr_transcript:ENSACCT00020000343_R0,GEMOMA_00003025-RA,A0A3Q2UKK1,CCDC149,CCDC149,CCDC149
78,aquChr_transcript:ENSACCT00020000345_R0,GEMOMA_00003024-RA,A0A1D5NXH9,LGI2,LGI2,LGI2
79,aquChr_transcript:ENSACCT00020000347_R0,GEMOMA_00003022-RA,A0A1D5PM73,PI4K2B,PI4K2B,PI4K2B
80,aquChr_transcript:ENSACCT00020000348_R0,GEMOMA_00003021-RA,A0A1D5PK64,ZCCHC4,ZCCHC4,ZCCHC4
81,aquChr_transcript:ENSACCT00020000349_R0,GEMOMA_00003020-RA,A0A1D5PB71,ANAPC4,ANAPC4,ANAPC4
82,aquChr_transcript:ENSACCT00020000350_R0,GEMOMA_00003019-RA,A0A3S5ZPQ9,SLC34A2,SLC34A2,SLC34A2
83,aquChr_transcript:ENSACCT00020000351_R0,GEMOMA_00003018-RA,A0A1D5NYF6,SEL1L3,SEL1L3,SEL1L3
84,aquChr_transcript:ENSACCT00020000352_R0,GEMOMA_00003017-RA,F1NQM1,SMIM20,SMIM20,SMIM20
85,aquChr_transcript:ENSACCT00020000354_R0,GEMOMA_00003015-RA,A0ZPS0,CCKAR,CCK1R,CCKAR
86,aquChr_transcript:ENSACCT00020000355_R0,GEMOMA_00003014-RA,A0A1D5PGS5,TBC1D19,TBC1D19,TBC1D19
87,aquChr_transcript:ENSACCT00020000362_R0,GEMOMA_00003011-RA,NA,NA,NA,NA
88,aquChr_transcript:ENSACCT00020000362_R1,GEMOMA_00012362-RA,NA,NA,NA,NA
89,aquChr_transcript:ENSACCT00020000368_R0,GEMOMA_00003005-RA,Q5F3A4,RELL1,RELL1,RELL1
90,aquChr_transcript:ENSACCT00020000373_R0,GEMOMA_00003002-RA,A0A1D5PKX5,KLF3,KLF3,KLF3
91,aquChr_transcript:ENSACCT00020000381_R0,GEMOMA_00002996-RA,A0A1D5PZZ6,WDR19,NA,WDR19
92,aquChr_transcript:ENSACCT00020000382_R0,GEMOMA_00002995-RA,F1NEP9,RFC1,RFC1,RFC1
93,aquChr_transcript:ENSACCT00020000385_R0,GEMOMA_00002992-RA,A0A1D5NVI1,RPL9,RPL9,RPL9
94,aquChr_transcript:ENSACCT00020000387_R0,GEMOMA_00002990-RA,Q5F3T9,UGDH,UGDH,UGDH
95,aquChr_transcript:ENSACCT00020000393_R0,GEMOMA_00002985-RA,A0A3Q2UHR2,RHOH,RHOH,RHOH
96,aquChr_transcript:ENSACCT00020000394_R0,GEMOMA_00002984-RA,Q9PTS8,CHRNA9,CHRNA9,CHRNA9
97,aquChr_transcript:ENSACCT00020000403_R0,GEMOMA_00002979-RA,A1IMF0,UCHL1,UCH-L1,UCHL1
98,aquChr_transcript:ENSACCT00020000414_R0,GEMOMA_00002973-RA,A0A3Q2U2N5,ATP8A1,ATP8A1,ATP8A1
99,aquChr_transcript:ENSACCT00020000415_R0,GEMOMA_00002972-RA,E1C085,GRXCR1,GRXCR1,GRXCR1
100,aquChr_transcript:ENSACCT00020000416_R1,GEMOMA_00012430-RA,E1C3V1,KCTD16,KCTD16,KCTD16
101,aquChr_transcript:ENSACCT00020000417_R0,GEMOMA_00002970-RA,E1C864,YIPF7,YIPF7,YIPF7
102,aquChr_transcript:ENSACCT00020000419_R0,GEMOMA_00002969-RA,A0A3Q2U0P6,GUF1,GUF1,GUF1
103,aquChr_transcript:ENSACCT00020000419_R1,GEMOMA_00014260-RA,NA,LEPA,NA,LEPA
104,aquChr_transcript:ENSACCT00020000420_R0,GEMOMA_00002968-RA,E1C878,GNPDA2,GNPDA2,GNPDA2
105,aquChr_transcript:ENSACCT00020000431_R0,GEMOMA_00002958-RA,Q90980,NA,NA,NA
106,aquChr_transcript:ENSACCT00020000437_R0,GEMOMA_00002955-RA,F1NZY8,TEC,TEC,TEC
107,aquChr_transcript:ENSACCT00020000438_R0,GEMOMA_00002954-RA,A0A3Q2U2B3,SLAIN2,SLAIN2,SLAIN2
108,aquChr_transcript:ENSACCT00020000443_R0,GEMOMA_00013589-RA,A0A3Q2UHQ9,HNRNPD,HNRNPD,HNRNPD
109,aquChr_transcript:ENSACCT00020000446_R0,GEMOMA_00002852-RA,E1C9G1,MFAP3L,MFAP3L,MFAP3L
110,aquChr_transcript:ENSACCT00020000450_R0,GEMOMA_00010736-RA,F1P5L3,COX18,COX18,COX18
111,aquChr_transcript:ENSACCT00020000451_R0,GEMOMA_00013592-RA,E1C5Z4,TMEM150C,TMEM150C,TMEM150C
112,aquChr_transcript:ENSACCT00020000452_R0,GEMOMA_00009952-RA,E1C6G6,SRP54,SRP54,SRP54
113,aquChr_transcript:ENSACCT00020000455_R0,GEMOMA_00006996-RA,A0A1D5PH09,NA,NA,NA
114,aquChr_transcript:ENSACCT00020000456_R0,GEMOMA_00002850-RA,E1C9F3,CLCN3,CLCN3,CLCN3
115,aquChr_transcript:ENSACCT00020000457_R1,GEMOMA_00006612-RA,E1BXT7,ANKHD1,ANKHD1,ANKHD1
116,aquChr_transcript:ENSACCT00020000460_R0,GEMOMA_00009953-RA,E1C1G1,NA,NA,NA
117,aquChr_transcript:ENSACCT00020000465_R0,GEMOMA_00009351-RA,A0A1D5PPX6,GAD2,GAD2,GAD2
118,aquChr_transcript:ENSACCT00020000466_R0,GEMOMA_00003497-RA,A0A1D5NVM3,EEPD1,EEPD1,EEPD1
119,aquChr_transcript:ENSACCT00020000469_R0,GEMOMA_00003526-RA,A0A3Q2UAM5,ZNF467,LOC107052491,ZNF467
120,aquChr_transcript:ENSACCT00020000470_R0,GEMOMA_00001389-RA,A0A1D5NUC4,MAP3K7,MAP3K7,MAP3K7
121,aquChr_transcript:ENSACCT00020000471_R0,GEMOMA_00007088-RA,A0A3Q2UFR9,SPATA7,SPATA7,SPATA7
122,aquChr_transcript:ENSACCT00020000479_R0,GEMOMA_00009349-RA,A0A3Q2U3Q1,APBB1IP,APBB1IP,APBB1IP
123,aquChr_transcript:ENSACCT00020000484_R0,GEMOMA_00004692-RA,A0A1D5NUQ4,RPL4,RPL4,RPL4
124,aquChr_transcript:ENSACCT00020000488_R0,GEMOMA_00000922-RA,A0A1D5PWW6,ZFAND2B,LOC100858626,ZFAND2B
125,aquChr_transcript:ENSACCT00020000493_R0,GEMOMA_00001011-RA,E1BQC5,PARP14,PARP14,PARP14
126,aquChr_transcript:ENSACCT00020000506_R0,GEMOMA_00001974-RA,F1NL47,ARID3B,ARID3B,ARID3B
127,aquChr_transcript:ENSACCT00020000507_R0,GEMOMA_00001012-RA,F1NFB8,DTX3L,DTX3L,DTX3L
128,aquChr_transcript:ENSACCT00020000509_R0,GEMOMA_00006272-RA,NA,PDYN,NA,PDYN
129,aquChr_transcript:ENSACCT00020000510_R0,GEMOMA_00003769-RA,Q5ZKQ3,RPAP3,RPAP3,RPAP3
130,aquChr_transcript:ENSACCT00020000516_R0,GEMOMA_00004190-RA,A0A1D5PB17,LRRC58,NA,LRRC58
131,aquChr_transcript:ENSACCT00020000519_R0,GEMOMA_00010734-RA,P19121,ALB,ALB,ALB
132,aquChr_transcript:ENSACCT00020000520_R0,GEMOMA_00009440-RA,F1NYR3,ASB4,ASB4,ASB4
133,aquChr_transcript:ENSACCT00020000528_R0,GEMOMA_00009348-RA,E1BZW6,SELO,xcc-b100_1894L,SELO
134,aquChr_transcript:ENSACCT00020000529_R0,GEMOMA_00013221-RA,A0A1L1RPL3,NA,LOC107055134,LOC107055134
135,aquChr_transcript:ENSACCT00020000529_R1,GEMOMA_00013702-RA,A0A1L1RPL3,NA,LOC107055134,LOC107055134
136,aquChr_transcript:ENSACCT00020000531_R0,GEMOMA_00013595-RA,A0A1L1RSC9,THAP9,THAP6,THAP9
137,aquChr_transcript:ENSACCT00020000543_R0,GEMOMA_00000755-RA,E1BYC2,FAM237A,NA,FAM237A
138,aquChr_transcript:ENSACCT00020000545_R0,GEMOMA_00004189-RA,F1NM68,GPR156,GPR156,GPR156
139,aquChr_transcript:ENSACCT00020000547_R0,GEMOMA_00002592-RA,Q5ZK61,NDUFB5,NDUFB5,NDUFB5
140,aquChr_transcript:ENSACCT00020000548_R0,GEMOMA_00003531-RA,A0A3Q2UFD8,NA,NA,NA
141,aquChr_transcript:ENSACCT00020000550_R0,GEMOMA_00000924-RA,Q5ZJH7,CNPPD1,CNPPD1,CNPPD1
142,aquChr_transcript:ENSACCT00020000551_R0,GEMOMA_00007827-RA,A0A1D5PVC1,ETV4,ETV4,ETV4
143,aquChr_transcript:ENSACCT00020000553_R0,GEMOMA_00009439-RA,F1NCU9,PON2,PON1,PON2
144,aquChr_transcript:ENSACCT00020000558_R0,GEMOMA_00013217-RA,NA,NA,NA,NA
145,aquChr_transcript:ENSACCT00020000558_R1,GEMOMA_00013699-RA,NA,NA,NA,NA
146,aquChr_transcript:ENSACCT00020000566_R0,GEMOMA_00000926-RA,F1NVP8,NHEJ1,NHEJ1,NHEJ1
147,aquChr_transcript:ENSACCT00020000572_R0,GEMOMA_00009956-RA,Q5ZK22,SNX6,SNX32,SNX6
148,aquChr_transcript:ENSACCT00020000581_R0,GEMOMA_00007828-RA,A0A1D5P3Z4,DHX8,DHX8,DHX8
149,aquChr_transcript:ENSACCT00020000585_R0,GEMOMA_00009957-RA,F1NG40,EAPP,EAPP,EAPP
150,aquChr_transcript:ENSACCT00020000594_R0,GEMOMA_00013215-RA,Q9PTM3,NA,JAC,JAC
151,aquChr_transcript:ENSACCT00020000594_R1,GEMOMA_00013697-RA,Q9PTM3,NA,JAC,JAC
152,aquChr_transcript:ENSACCT00020000595_R0,GEMOMA_00014677-RA,A0A1D5PRM3,MRPL9,MRPL9,MRPL9
153,aquChr_transcript:ENSACCT00020000595_R1,GEMOMA_00014691-RA,A0A1D5PRM3,MRPL9,MRPL9,MRPL9
154,aquChr_transcript:ENSACCT00020000596_R0,GEMOMA_00008705-RA,R4GJH9,SOCS3,SOCS3,SOCS3
155,aquChr_transcript:ENSACCT00020000599_R0,GEMOMA_00003904-RA,P02504,CRYAA,CRYAA,CRYAA
156,aquChr_transcript:ENSACCT00020000602_R0,GEMOMA_00010732-RA,E1BV82,RASSF6,RASSF6,RASSF6
157,aquChr_transcript:ENSACCT00020000603_R0,GEMOMA_00002676-RA,P33094,SST,SST,SST
158,aquChr_transcript:ENSACCT00020000605_R0,GEMOMA_00009959-RA,E1C8C0,EGLN3,EGLN3,EGLN3
159,aquChr_transcript:ENSACCT00020000608_R0,GEMOMA_00000928-RA,F1NVN6,NA,MNR2,MNR2
160,aquChr_transcript:ENSACCT00020000610_R0,GEMOMA_00013596-RA,F1NCE0,LIN54,LIN54,LIN54
161,aquChr_transcript:ENSACCT00020000611_R0,GEMOMA_00009859-RA,F1NJ89,GALC,GALC,GALC
162,aquChr_transcript:ENSACCT00020000614_R0,GEMOMA_00001015-RA,E1BXW8,CEP70,CEP70,CEP70
163,aquChr_transcript:ENSACCT00020000615_R0,GEMOMA_00002593-RA,A0A1I7Q407,USP13,USP13,USP13
164,aquChr_transcript:ENSACCT00020000617_R0,GEMOMA_00014894-RA,F1NUM9,WNT9B,WNT9B,WNT9B
165,aquChr_transcript:ENSACCT00020000619_R0,GEMOMA_00014157-RA,F1NA68,CDK3,CDK3,CDK3
166,aquChr_transcript:ENSACCT00020000620_R0,GEMOMA_00003903-RA,A0A1D5PL73,SIK2,SIK1,SIK2
167,aquChr_transcript:ENSACCT00020000624_R0,GEMOMA_00000756-RA,A0A3Q2U8D8,ADAM23,ADAM23,ADAM23
168,aquChr_transcript:ENSACCT00020000626_R0,GEMOMA_00010731-RA,O73912,NA,k60,K60
169,aquChr_transcript:ENSACCT00020000628_R0,GEMOMA_00004275-RA,A0A1L1RIZ2,LPCAT2,LPCAT2,LPCAT2
170,aquChr_transcript:ENSACCT00020000632_R0,GEMOMA_00009438-RA,A0A3Q2UM45,PPP1R9A,PPP1R9A,PPP1R9A
171,aquChr_transcript:ENSACCT00020000637_R0,GEMOMA_00002678-RA,F1NBN7,BCL6,BCL6,BCL6
172,aquChr_transcript:ENSACCT00020000644_R0,GEMOMA_00012800-RA,NA,ADIG,NA,ADIG
173,aquChr_transcript:ENSACCT00020000644_R1,GEMOMA_00012829-RA,NA,NA,NA,NA
174,aquChr_transcript:ENSACCT00020000648_R0,GEMOMA_00012204-RA,A0A3Q2TWI4,OXR1,OXR1,OXR1
175,aquChr_transcript:ENSACCT00020000657_R0,GEMOMA_00013212-RA,NA,NA,NA,NA
176,aquChr_transcript:ENSACCT00020000657_R1,GEMOMA_00013694-RA,NA,NA,NA,NA
177,aquChr_transcript:ENSACCT00020000658_R0,GEMOMA_00004302-RA,A0A1D5P6T7,CDH11,CDH11,CDH11
178,aquChr_transcript:ENSACCT00020000661_R0,GEMOMA_00010730-RA,NA,NA,NA,NA
179,aquChr_transcript:ENSACCT00020000662_R0,GEMOMA_00014368-RA,Q11200,ST3GAL1,ST3GAL1,ST3GAL1
180,aquChr_transcript:ENSACCT00020000666_R0,GEMOMA_00013597-RA,Q5ZJV0,COPS4,COPS4,COPS4
181,aquChr_transcript:ENSACCT00020000668_R0,GEMOMA_00000758-RA,F1NYB0,GPR1,GPR1,GPR1
182,aquChr_transcript:ENSACCT00020000671_R0,GEMOMA_00007597-RA,A0A3Q3AL01,EXOSC1,EXOSC1,EXOSC1
183,aquChr_transcript:ENSACCT00020000675_R0,GEMOMA_00005651-RA,A3EYS4,FOXN4,FoxN4,FOXN4
184,aquChr_transcript:ENSACCT00020000677_R0,GEMOMA_00005742-RA,F1NNN8,ATP6V0A2,ATP6V0A2,ATP6V0A2
185,aquChr_transcript:ENSACCT00020000679_R0,GEMOMA_00015175-RA,F1NLC0,SPIRE2,SPIRE2,SPIRE2
186,aquChr_transcript:ENSACCT00020000681_R0,GEMOMA_00000759-RA,F1NYA9,EEF1B,EEF1B2,EEF1B
187,aquChr_transcript:ENSACCT00020000683_R0,GEMOMA_00006999-RA,A0A3Q3AAA5,TRAF3,TRAF3,TRAF3
188,aquChr_transcript:ENSACCT00020000684_R0,GEMOMA_00009861-RA,E1C6X2,SEL1L,SEL1L,SEL1L
189,aquChr_transcript:ENSACCT00020000689_R0,GEMOMA_00014367-RA,A0A3Q3A8D7,NDRG1,NDRG1,NDRG1
190,aquChr_transcript:ENSACCT00020000690_R0,GEMOMA_00004303-RA,Q8AYD0,CDH5,CDH5,CDH5
191,aquChr_transcript:ENSACCT00020000712_R0,GEMOMA_00008702-RA,P04047,TK1,TK1,TK1
192,aquChr_transcript:ENSACCT00020000714_R0,GEMOMA_00013210-RA,A0A088BHA8,NA,EDQM3,EDQM3
193,aquChr_transcript:ENSACCT00020000714_R1,GEMOMA_00013692-RA,A0A088BHA8,NA,EDQM3,EDQM3
194,aquChr_transcript:ENSACCT00020000715_R0,GEMOMA_00008602-RA,A0A1D5PKQ5,ASCC1,ASCC1,ASCC1
195,aquChr_transcript:ENSACCT00020000722_R0,GEMOMA_00014895-RA,A0A3Q2U407,GOSR2,GOSR2,GOSR2
196,aquChr_transcript:ENSACCT00020000723_R4,GEMOMA_00001457-RA,NA,CCN6,NA,CCN6
197,aquChr_transcript:ENSACCT00020000726_R0,GEMOMA_00013598-RA,E1C6N8,ARHGAP24,ARHGAP24,ARHGAP24
198,aquChr_transcript:ENSACCT00020000730_R0,GEMOMA_00003494-RA,A0A1D5PNP0,AOAH,AOAH,AOAH
199,aquChr_transcript:ENSACCT00020000732_R1,GEMOMA_00008321-RA,NA,NA,NA,NA
200,aquChr_transcript:ENSACCT00020000732_R5,GEMOMA_00006252-RA,NA,NA,NA,NA
201,aquChr_transcript:ENSACCT00020000733_R0,GEMOMA_00000760-RA,F1NXN8,NDUFS1,NDUFS1,NDUFS1
202,aquChr_transcript:ENSACCT00020000734_R0,GEMOMA_00004305-RA,A0A3Q2U6E9,NA,LOC101749275,LOC101749275
203,aquChr_transcript:ENSACCT00020000743_R0,GEMOMA_00009863-RA,A1IIE6,GTF2A1,GTF2A1,GTF2A1
204,aquChr_transcript:ENSACCT00020000756_R0,GEMOMA_00004689-RA,A0A1D5PB14,SMAD6,SMAD6,SMAD6
205,aquChr_transcript:ENSACCT00020000758_R0,GEMOMA_00004306-RA,A0A3Q3AD11,TK2,TK2,TK2
206,aquChr_transcript:ENSACCT00020000760_R0,GEMOMA_00012145-RA,A0A3Q2U084,PLBD2,PLBD2,PLBD2
207,aquChr_transcript:ENSACCT00020000761_R0,GEMOMA_00007830-RA,F1N8I5,BRCA1,BRCA1,BRCA1
208,aquChr_transcript:ENSACCT00020000762_R1,GEMOMA_00000769-RA,A0A1D5PT17,ABI2,ABI2,ABI2
209,aquChr_transcript:ENSACCT00020000765_R0,GEMOMA_00007596-RA,A0A1D5PDT8,ZDHHC16,ZDHHC16,ZDHHC16
210,aquChr_transcript:ENSACCT00020000769_R0,GEMOMA_00000930-RA,F1P4W6,CRYBA2,CRYBA2,CRYBA2
211,aquChr_transcript:ENSACCT00020000769_R2,GEMOMA_00005897-RA,P10042,CRYBA1,CRYBA1,CRYBA1
212,aquChr_transcript:ENSACCT00020000770_R0,GEMOMA_00001976-RA,A0A1D5NZF2,EDC3,EDC3,EDC3
213,aquChr_transcript:ENSACCT00020000776_R0,GEMOMA_00000761-RA,A0A1D5P5H5,INO80D,INO80D,INO80D
214,aquChr_transcript:ENSACCT00020000784_R0,GEMOMA_00002848-RA,A0A1L1RJE3,CBR4,CBR4,CBR4
215,aquChr_transcript:ENSACCT00020000788_R0,GEMOMA_00011124-RA,A0A1D5PGF0,GHITM,GHITM,GHITM
216,aquChr_transcript:ENSACCT00020000789_R0,GEMOMA_00004307-RA,E1BXP9,CKLF,CKLF,CKLF
217,aquChr_transcript:ENSACCT00020000790_R0,GEMOMA_00012146-RA,A0A3Q2UE57,SDSL,SDSL,SDSL
218,aquChr_transcript:ENSACCT00020000795_R0,GEMOMA_00001977-RA,F1P054,CYP1A4,CYP1A1,CYP1A4
219,aquChr_transcript:ENSACCT00020000801_R0,GEMOMA_00000599-RA,A0A1D5P786,WDR75,WDR75,WDR75
